match_id,positive_relation_id,negative_relation_id,positive_enhancer_id,negative_enhancer_id,positive_gene_id,negative_gene_id,matching_distance,positive_strength,negative_strength,paired_difference
M001,Enh102_ENO1,Enh68_HMGN2,Enh102,Enh68,ENSG00000074800,ENSG00000198830,1.2863706903963188,9.918212890625e-05,0.0106918811798095,-0.01059269905090325
M002,Enh148_PSAP,Enh814_HMGA1,Enh148,Enh814,ENSG00000197746,ENSG00000137309,1.0555678844688936,0.1334013938903808,0.0596066713333129,0.0737947225570679
M003,Enh162_PLAU,Enh469_NACC1,Enh162,Enh469,ENSG00000122861,ENSG00000160877,0.827404057164029,0.1660271883010864,0.0042376518249511,0.1617895364761353
M004,Enh162_VCL,Enh43_CDC42,Enh162,Enh43,ENSG00000035403,ENSG00000070831,0.5547223874737163,0.0090035200119018,-0.0024296604096889,0.011433180421590701
M005,Enh163_PLAU,Enh737_BLOC1S4,Enh163,Enh737,ENSG00000122861,ENSG00000186222,0.7483112676556928,0.1880830526351928,0.0258944630622863,0.1621885895729065
M006,Enh167_ANKRD1,Enh568_RTN4,Enh167,Enh568,ENSG00000148677,ENSG00000115310,2.0342795682367676,0.130766749382019,0.0093590021133422,0.12140774726867679
M007,Enh167_PCGF5,Enh69_DHDDS,Enh167,Enh69,ENSG00000180628,ENSG00000117682,0.4955847501160886,-0.0060830116271972,0.0025925636291503,-0.0086755752563475
M008,Enh168_ANKRD1,Enh569_RTN4,Enh168,Enh569,ENSG00000148677,ENSG00000115310,1.9508849891942914,0.5842673182487488,0.0217909812927246,0.5624763369560242
M009,Enh168_PCGF5,Enh524_TLK1,Enh168,Enh524,ENSG00000180628,ENSG00000198586,0.7111335023681568,0.092501163482666,-0.001450777053833,0.093951940536499
M010,Enh16_CRABP2,Enh16_GLMP,Enh16,Enh16,ENSG00000143320,ENSG00000198715,0.16794527942755497,-0.0097239017486572,0.0008814930915832,-0.0106053948402404
M011,Enh172_PPP1R3C,Enh222_SCYL1,Enh172,Enh222,ENSG00000119938,ENSG00000142186,0.6007805423915158,0.2696745693683624,0.0054156780242919,0.26425889134407055
M012,Enh173_PPP1R3C,Enh38_UTP25,Enh173,Enh38,ENSG00000119938,ENSG00000117597,0.7696810764678604,0.0104531645774841,-0.0076711177825927,0.0181242823600768
M013,Enh188_DKK3,Enh681_TIPARP,Enh188,Enh681,ENSG00000050165,ENSG00000163659,0.78693718196213,0.0032674074172973,0.0266097486019134,-0.0233423411846161
M014,Enh199_LDHA,Enh715_BOD1L1,Enh199,Enh715,ENSG00000134333,ENSG00000038219,1.1498170305990147,0.0088913440704345,-0.002102255821228,0.010993599891662499
M015,Enh200_LDHA,Enh188_MICAL2,Enh200,Enh188,ENSG00000134333,ENSG00000133816,0.9114788128584591,0.1014192104339599,0.0620843172073364,0.03933489322662351
M016,Enh210_BEST1,Enh469_STX10,Enh210,Enh469,ENSG00000167995,ENSG00000104915,0.7237730089554033,0.2330172061920166,0.0030469894409179,0.2299702167510987
M017,Enh210_FTH1,Enh226_MALAT1,Enh210,Enh226,ENSG00000167996,ENSG00000251562,1.7458203971398363,0.4495060443878174,0.0170042514801025,0.4325017929077149
M018,Enh211_BEST1,Enh946_UBAC1,Enh211,Enh946,ENSG00000167995,ENSG00000130560,0.9441674017464619,0.0122499465942382,0.0112648010253906,0.000985145568847599
M019,Enh211_FTH1,Enh228_MALAT1,Enh211,Enh228,ENSG00000167996,ENSG00000251562,1.2312473922809717,0.0006942749023437,0.0017991065979003,-0.0011048316955565999
M020,Enh213_AHNAK,Enh213_EEF1G,Enh213,Enh213,ENSG00000124942,ENSG00000254772,0.4081653751886513,-0.0007219314575195,0.0002610683441162,-0.0009829998016357001
M021,Enh218_NEAT1,Enh542_PTMA,Enh218,Enh542,ENSG00000245532,ENSG00000187514,1.4844052740952347,0.0174057483673095,-0.0054249763488769,0.022830724716186402
M022,Enh219_FOSL1,Enh583_SERTAD2,Enh219,Enh583,ENSG00000175592,ENSG00000179833,0.2146071647204166,-0.0021152943372726,-0.0021984577178955,8.31633806229002e-05
M023,Enh219_NEAT1,Enh227_MALAT1,Enh219,Enh227,ENSG00000245532,ENSG00000251562,1.8457959512558955,0.0221772193908691,0.0050878524780273,0.017089366912841797
M024,Enh220_NEAT1,Enh858_HSPB1,Enh220,Enh858,ENSG00000245532,ENSG00000106211,1.293623118381758,-0.0339326858520507,-0.0409439802169799,0.007011294364929199
M025,Enh225_EHBP1L1,Enh225_FAM89B,Enh225,Enh225,ENSG00000173442,ENSG00000176973,0.4453355820455301,0.0002012252807617,0.0060033500194549,-0.0058021247386932
M026,Enh228_FAM89B,Enh622_HMGXB4,Enh228,Enh622,ENSG00000176973,ENSG00000100281,0.5576378062404715,-0.0025465488433837,-0.000234842300415,-0.0023117065429687
M027,Enh232_MRPL48,Enh468_STX10,Enh232,Enh468,ENSG00000175581,ENSG00000104915,0.6710998835029353,0.011783480644226,-0.0092446208000183,0.0210281014442443
M028,Enh232_RAB6A,Enh951_DPP7,Enh232,Enh951,ENSG00000175582,ENSG00000176978,0.54677136797557,0.0280803442001342,0.0857807695865631,-0.057700425386428895
M029,Enh237_SERPINH1,Enh63_CLIC4,Enh237,Enh63,ENSG00000149257,ENSG00000169504,1.3498367973203282,0.089043378829956,0.0115888118743896,0.0774545669555664
M030,Enh241_FAT3,Enh636_L3MBTL2,Enh241,Enh636,ENSG00000165323,ENSG00000100395,0.5860763871620833,0.6433019638061523,0.0031671524047851,0.6401348114013673
M031,Enh244_IPO7,Enh952_PLIN2,Enh244,Enh952,ENSG00000205339,ENSG00000147872,0.7277048405224739,0.2866500616073608,0.1067065671086311,0.17994349449872968
M032,Enh247_WEE1,Enh207_ARHGAP1,Enh247,Enh207,ENSG00000166483,ENSG00000175220,1.0823231267171665,-0.047964334487915,0.0245630964636802,-0.0725274309515952
M033,Enh248_WEE1,Enh483_LSM14A,Enh248,Enh483,ENSG00000166483,ENSG00000257103,0.9236363173676125,0.1737647056579589,-0.0165954232215881,0.190360128879547
M034,Enh249_WEE1,Enh249_SWAP70,Enh249,Enh249,ENSG00000166483,ENSG00000133789,0.631773078707292,0.0076442956924438,0.0259793996810913,-0.018335103988647503
M035,Enh252_NUAK1,Enh207_CKAP5,Enh252,Enh207,ENSG00000074590,ENSG00000175216,0.7968641106701552,0.0884073376655578,0.0015456080436706,0.08686172962188721
M036,Enh257_TRAFD1,Enh466_NFIX,Enh257,Enh466,ENSG00000135148,ENSG00000008441,0.7077947573199735,0.0123706459999084,0.0030073523521423,0.0093632936477661
M037,Enh258_TRAFD1,Enh1_CTTNBP2NL,Enh258,Enh1,ENSG00000135148,ENSG00000143079,0.897218112817331,0.0108251199126243,0.0230836272239685,-0.012258507311344199
M038,Enh27_LMOD1,Enh949_TMEM141,Enh27,Enh949,ENSG00000163431,ENSG00000244187,0.5184172127135389,0.000111386179924,-0.001041829586029,0.001153215765953
M039,Enh2_RHOC,Enh2_CAPZA1,Enh2,Enh2,ENSG00000155366,ENSG00000116489,0.5944295564526004,0.0003778934478759,0.0025908946990966,-0.0022130012512206997
M040,Enh304_TSC22D1,Enh438_UBE2Z,Enh304,Enh438,ENSG00000102804,ENSG00000159202,0.3429309216310561,0.0074214339256286,0.0001695156097412,0.0072519183158874
M041,Enh308_TSC22D1,Enh308_GTF2F2,Enh308,Enh308,ENSG00000102804,ENSG00000188342,0.6412919031156862,-0.00311940908432,0.0006637573242187,-0.0037831664085387
M042,Enh309_SPRY2,Enh438_CALCOCO2,Enh309,Enh438,ENSG00000136158,ENSG00000136436,0.6195428887153925,0.1162171512842178,0.0036770701408386,0.11254008114337921
M043,Enh30_ATP2B4,Enh20_PEA15,Enh30,Enh20,ENSG00000058668,ENSG00000162734,0.4170919136158693,-0.0024589300155639,-0.0009454488754272,-0.0015134811401366997
M044,Enh31_ATP2B4,Enh387_MEF2A,Enh31,Enh387,ENSG00000058668,ENSG00000068305,0.4787644925107929,0.0434001684188842,0.0022470355033874,0.0411531329154968
M045,Enh322_AHNAK2,Enh17_CCT3,Enh322,Enh17,ENSG00000185567,ENSG00000163468,0.34969353842505935,-0.0029091835021972,0.001601219177246,-0.0045104026794432
M046,Enh322_BTBD6,Enh497_SAE1,Enh322,Enh497,ENSG00000184887,ENSG00000142230,0.67148164247468,0.0034667253494262,0.0060451030731201,-0.0025783777236938997
M047,Enh32_ATP2B4,Enh360_EID1,Enh32,Enh360,ENSG00000058668,ENSG00000255302,0.4836248742898837,-0.0021101236343383,0.0013868808746337,-0.0034970045089719997
M048,Enh332_LGALS3,Enh758_SUB1,Enh332,Enh758,ENSG00000131981,ENSG00000113387,0.6802087214665421,0.0744520425796508,0.0226089507341384,0.0518430918455124
M049,Enh333_LGALS3,Enh954_CLTA,Enh333,Enh954,ENSG00000131981,ENSG00000122705,0.6448287077601824,0.0556567907333374,-0.0408688783645629,0.09652566909790031
M050,Enh334_LGALS3,Enh681_SSR3,Enh334,Enh681,ENSG00000131981,ENSG00000114850,1.4879857412691115,0.2983825206756592,0.0227413177490234,0.2756412029266358
M051,Enh33_ATP2B4,Enh854_YWHAG,Enh33,Enh854,ENSG00000058668,ENSG00000170027,0.5332417019681318,0.0370141267776489,0.0105975866317749,0.026416540145873996
M052,Enh343_GLRX5,Enh751_ETF1,Enh343,Enh751,ENSG00000182512,ENSG00000120705,0.35420691077383615,0.0137872099876403,0.0482169389724731,-0.034429728984832805
M053,Enh346_SYNE3,Enh415_CARHSP1,Enh346,Enh415,ENSG00000176438,ENSG00000153048,1.2160825263596584,-0.1055805683135986,0.0028622150421142,-0.10844278335571281
