pair_id,gene_id,wrong_gene_id,linked_deletion_strength,wrong_deletion_strength,linked_minus_wrong_strength,status
PRIMARY_001,ENSG00000005249,ENSG00000105851,0.1024704662546422,0.0316628895876469,0.0708075766669953,COMPLETED
PRIMARY_002,ENSG00000005249,ENSG00000105851,3.5675750632884284,0.0745093711090607,3.4930656921793677,COMPLETED
PRIMARY_003,ENSG00000005249,ENSG00000105851,-0.0314830674434674,-0.0088678805999498,-0.0226151868435176,COMPLETED
PRIMARY_004,ENSG00000005249,ENSG00000105851,3.292584704707373,0.0898656264486152,3.202719078258758,COMPLETED
PRIMARY_005,ENSG00000006042,ENSG00000290320,0.0900209354913821,-0.0215963276338377,0.1116172631252199,COMPLETED
PRIMARY_006,ENSG00000006042,ENSG00000176658,0.4007548306085633,0.3035395341487028,0.0972152964598604,COMPLETED
PRIMARY_007,ENSG00000013306,ENSG00000030582,5.826822337371539,5.8812153175756405,-0.0543929802041018,COMPLETED
PRIMARY_008,ENSG00000013306,ENSG00000108312,0.0212215522679333,0.0326737914718391,-0.0114522392039058,COMPLETED
PRIMARY_009,ENSG00000059804,ENSG00000173262,-0.0257895081456069,-0.0194736469101961,-0.0063158612354108,COMPLETED
PRIMARY_010,ENSG00000067082,ENSG00000107959,-0.0159552780449683,0.0014091032267948,-0.0173643812717632,COMPLETED
PRIMARY_011,ENSG00000067082,ENSG00000107959,0.0176478737362266,0.0019388195520573,0.0157090541841693,COMPLETED
PRIMARY_012,ENSG00000072274,ENSG00000161217,0.0447727512989448,4.278095080772041,-4.233322329473096,COMPLETED
PRIMARY_013,ENSG00000072274,ENSG00000272741,0.0173264795643444,5.301412313020158,-5.284085833455814,COMPLETED
PRIMARY_014,ENSG00000073921,ENSG00000074266,0.0622430297769271,0.0477037807630045,0.0145392490139226,COMPLETED
PRIMARY_015,ENSG00000073921,ENSG00000074266,0.1250808703619883,0.1007577130215171,0.0243231573404711,COMPLETED
PRIMARY_016,ENSG00000073921,ENSG00000074266,0.0011404935389709,-0.0251327671059857,0.0262732606449567,COMPLETED
PRIMARY_017,ENSG00000073921,ENSG00000074266,0.0149411094111444,-0.0226849778227957,0.0376260872339402,COMPLETED
PRIMARY_018,ENSG00000073921,ENSG00000149196,0.0272379250306187,0.0285967365223722,-0.0013588114917535,COMPLETED
PRIMARY_019,ENSG00000076662,ENSG00000161847,5.619082625561961,2.35213327851627,3.266949347045691,COMPLETED
PRIMARY_020,ENSG00000081026,ENSG00000155380,4.294900593586575,-0.0040033870470859,4.298903980633661,COMPLETED
PRIMARY_021,ENSG00000081154,ENSG00000138468,0.0006209391891331,0.0006720311332149,-5.109194408170481e-05,COMPLETED
PRIMARY_022,ENSG00000089248,ENSG00000198270,-0.0002746316578274,-0.0020505312187903,0.0017758995609629,COMPLETED
PRIMARY_023,ENSG00000090273,ENSG00000198746,-0.0077769000708487,0.0085746325113351,-0.0163515325821839,COMPLETED
