pair_id,gene_id,pilot_split,positive_deletion_strength,negative_deletion_strength,paired_strength_difference,positive_direction_agreement,status,reused_from_pair_id
GC_003,ENSG00000005249,development,-0.0314830674434674,-0.0440773501358915,0.0125942826924241,False,COMPLETED,PRIMARY_003
GC_004,ENSG00000005249,development,3.335403016910149,0.0004256176078278,3.3349773993023213,True,COMPLETED,PRIMARY_004
GC_005,ENSG00000006042,development,0.0776756366136544,-0.3344834135668995,0.4121590501805539,True,COMPLETED,PRIMARY_005
GC_006,ENSG00000006042,development,0.4761662820227412,0.0993990464530423,0.3767672355696989,True,COMPLETED,PRIMARY_006
GC_007,ENSG00000013306,development,5.854343102387727,-0.001315668774227,5.855658771161954,True,COMPLETED,PRIMARY_007
GC_008,ENSG00000013306,development,0.0195672855941069,0.2152598458015919,-0.195692560207485,True,COMPLETED,PRIMARY_008
GC_009,ENSG00000059804,development,-0.0257895081456069,0.0308936101825487,-0.0566831183281557,False,COMPLETED,PRIMARY_009
GC_010,ENSG00000067082,development,-0.0052311580050208,0.0399451824012011,-0.0451763404062219,False,COMPLETED,PRIMARY_010
GC_011,ENSG00000067082,development,0.0176478737362266,0.0046162731710488,0.0130316005651778,True,COMPLETED,PRIMARY_011
GC_012,ENSG00000072274,development,0.0314947603052075,-0.0029822715994178,0.0344770319046254,True,COMPLETED,PRIMARY_012
GC_015,ENSG00000073921,development,0.1144420084398047,0.0046056678819708,0.1098363405578339,True,COMPLETED,PRIMARY_015
GC_016,ENSG00000073921,development,0.0147393713812951,-0.0011471467076775,0.0158865180889726,True,COMPLETED,PRIMARY_016
GC_018,ENSG00000073921,development,0.027253869514948,-0.0070026647020897,0.0342565342170377,True,COMPLETED,PRIMARY_018
GC_019,ENSG00000076662,confirmation,5.451032420828861,4.264055047488087,1.186977373340774,True,COMPLETED,PRIMARY_019
GC_020,ENSG00000081026,development,4.294900593586575,3.876266057437803,0.4186345361487711,True,COMPLETED,PRIMARY_020
GC_024,ENSG00000100321,confirmation,0.0540063824568131,4.895257117853715,-4.841250735396902,True,COMPLETED,PRIMARY_024
GC_025,ENSG00000100393,development,-0.2997073544385396,0.2178615840241695,-0.5175689384627091,False,COMPLETED,PRIMARY_025
GC_026,ENSG00000101236,confirmation,0.1214456245402937,-0.0089852756488166,0.1304309001891104,True,COMPLETED,PRIMARY_026
GC_027,ENSG00000105327,development,0.6070669683558774,-0.0683396104858795,0.6754065788417569,True,COMPLETED,PRIMARY_027
GC_028,ENSG00000106211,development,1.824013921964163,0.0021081462252006,1.821905775738962,True,COMPLETED,PRIMARY_028
GC_029,ENSG00000109255,development,0.0223122699850932,0.0499281427362738,-0.0276158727511806,True,COMPLETED,PRIMARY_029
GC_033,ENSG00000113742,development,0.0950516415108584,3.270229570003284,-3.1751779284924257,True,COMPLETED,PRIMARY_033
GC_034,ENSG00000115310,development,0.5949033244873139,0.0750362510375226,0.5198670734497912,True,COMPLETED,PRIMARY_034
GC_035,ENSG00000115525,development,0.3189651103301836,0.018566015491384,0.3003990948387995,True,COMPLETED,PRIMARY_035
GC_036,ENSG00000115738,development,2.0199282911626946,-0.0002208139767665,2.020149105139461,True,COMPLETED,PRIMARY_036
GC_037,ENSG00000115738,development,2.6732445016863906,-0.0198097991310852,2.693054300817476,True,COMPLETED,PRIMARY_037
GC_038,ENSG00000115738,development,2.6590884860271866,0.0438416480551806,2.615246837972006,True,COMPLETED,PRIMARY_038
GC_039,ENSG00000115875,confirmation,0.0054521321683367,0.0016773283901443,0.0037748037781923,True,COMPLETED,PRIMARY_039
GC_040,ENSG00000116691,confirmation,-0.0026681533778383,0.0027367637157453,-0.0054049170935837,False,COMPLETED,PRIMARY_040
GC_041,ENSG00000116815,development,7.098589251555061,0.0621727523929269,7.036416499162134,True,COMPLETED,PRIMARY_041
GC_042,ENSG00000116830,confirmation,5.196230585293142,5.117418482535603,0.0788121027575385,True,COMPLETED,PRIMARY_042
GC_043,ENSG00000122779,development,4.2361645253218825,3.0346516826195096,1.201512842702373,True,COMPLETED,PRIMARY_043
GC_044,ENSG00000124575,development,0.0136752553846726,0.0013867219578163,0.0122885334268563,True,COMPLETED,PRIMARY_044
GC_045,ENSG00000124596,development,-0.0002383558570742,0.0773575072957957,-0.0775958631528699,False,COMPLETED,PRIMARY_045
GC_046,ENSG00000124657,development,-0.8509186151877768,-0.4841948544862751,-0.3667237607015017,False,COMPLETED,PRIMARY_046
GC_047,ENSG00000124657,development,-0.2974573844399475,-0.2112898018638724,-0.086167582576075,False,COMPLETED,PRIMARY_047
GC_048,ENSG00000124882,development,2.472164464384929,-0.0059705809177446,2.4781350453026736,True,COMPLETED,PRIMARY_048
GC_051,ENSG00000128039,confirmation,0.0015488244303183,-0.0054593025342652,0.0070081269645836,True,COMPLETED,PRIMARY_051
GC_052,ENSG00000129538,development,0.0221730181454233,6.035879739768335,-6.013706721622912,True,COMPLETED,PRIMARY_052
